|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV    |    PFA    |  PMISS   |
         KW202-00184  |          marafiki zangu |       1 |       1 |       2 |       0 |    0.9442 |   0.00006 |    0.000 |
         KW202-00185  |            atupe hekima |       1 |       1 |       4 |       0 |    0.8884 |   0.00011 |    0.000 |
         KW202-00186  |                 imeweka |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00187  |              alimdirect |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00188  |             ken ken ken |       1 |       1 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00189  |            kutoka kwako |       2 |       2 |      18 |       0 |    0.4978 |   0.00050 |    0.000 |
         KW202-00190  |                 akipiga |       1 |       1 |      29 |       0 |    0.1910 |   0.00081 |    0.000 |
         KW202-00191  |              only asked |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00192  |          buying centers |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00193  |                nikisema |       1 |       1 |      75 |       0 |   -1.0923 |   0.00209 |    0.000 |
         KW202-00194  |               themanini |       7 |       7 |      49 |       0 |   -0.3672 |   0.00137 |    0.000 |
         KW202-00195  |                  kakazi |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00196  |           an understate |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00197  |         that's a lot of |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00198  |              mahali uko |       3 |       3 |      76 |       0 |   -1.1203 |   0.00212 |    0.000 |
         KW202-00199  |                  mtungi |       2 |       2 |      70 |       0 |   -0.9529 |   0.00195 |    0.000 |
         KW202-00200  |      angaza itawezekana |       1 |       1 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00201  |                 serious |       9 |       8 |     125 |       1 |   -2.5991 |   0.00349 |    0.111 |
         KW202-00202  |               hautaisha |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00203  |                 atarudi |       6 |       6 |      70 |       0 |   -0.9531 |   0.00195 |    0.000 |
         KW202-00204  |                 kuuliza |       2 |       2 |     161 |       0 |   -3.4916 |   0.00449 |    0.000 |
         KW202-00205  |               alikuwako |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00206  |             anakasirika |       1 |       1 |      15 |       0 |    0.5815 |   0.00042 |    0.000 |
         KW202-00207  |             mama watoto |       1 |       1 |      21 |       0 |    0.4142 |   0.00059 |    0.000 |
         KW202-00208  |       utoto unakumaliza |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00209  |               walipitwa |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00210  |           at the end of |       1 |       1 |       2 |       0 |    0.9442 |   0.00006 |    0.000 |
         KW202-00211  |               next week |       4 |       3 |     121 |       1 |   -2.6259 |   0.00338 |    0.250 |
         KW202-00212  |              nikupeleke |       1 |       1 |      45 |       0 |   -0.2554 |   0.00126 |    0.000 |
         KW202-00213  |         they first came |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00214  |               leo usiku |       2 |       2 |      60 |       0 |   -0.6739 |   0.00167 |    0.000 |
         KW202-00215  |                papa jay |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00216  |              sijachukua |       1 |       1 |      31 |       0 |    0.1352 |   0.00086 |    0.000 |
         KW202-00217  |                   mpate |       1 |       1 |     128 |       0 |   -2.5709 |   0.00357 |    0.000 |
         KW202-00218  |                  mwanzo |       4 |       3 |     133 |       1 |   -2.9607 |   0.00371 |    0.250 |
         KW202-00219  |            haiwezi isha |       1 |       1 |       8 |       0 |    0.7768 |   0.00022 |    0.000 |
         KW202-00220  |                   asked |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00221  |             inaitwa aje |       3 |       3 |      32 |       0 |    0.1072 |   0.00089 |    0.000 |
         KW202-00222  |                yatakuwa |       3 |       3 |      88 |       0 |   -1.4551 |   0.00246 |    0.000 |
         KW202-00223  |                 amebeba |       1 |       1 |      47 |       0 |   -0.3112 |   0.00131 |    0.000 |
         KW202-00224  |             wakiniuliza |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00225  |             fanya bidii |         |         |         |         |           |           |          |
         KW202-00226  |               nchi yetu |       3 |       2 |      35 |       1 |   -0.3098 |   0.00098 |    0.333 |
         KW202-00227  |           pelekwa coast |       1 |       1 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00228  |                mwengine |       5 |       4 |     171 |       1 |   -3.9710 |   0.00477 |    0.200 |
         KW202-00229  |               tunaonana |       1 |       1 |      89 |       0 |   -1.4829 |   0.00248 |    0.000 |
         KW202-00230  |                umezeeka |       1 |       1 |      41 |       0 |   -0.1438 |   0.00114 |    0.000 |
